Sounder, Date (dd/MM/YYYY), Time (hh:mm:ss), Latitude (DD;MM;SS.sss H), Longitude  (DD;MM;SS.sss H),depth, Range (m),time,lat,lon,,
EA600-18kHz,10/9/22,11:02:20 AM,23;51;52.954 S,52;43;46.707 E,4431.45,4422.09,10/9/22 11:02:20 AM,-23.86470944,52.72964083,,
EA600-18kHz,10/9/22,11:02:33 AM,23;51;51.320 S,52;43;50.159 E,4436.05,4426.55,10/9/22 11:02:33 AM,-23.86425556,52.73059972,,
EA600-18kHz,10/9/22,11:02:47 AM,23;51;49.654 S,52;43;53.596 E,4438.84,4429.89,10/9/22 11:02:47 AM,-23.86379278,52.73155444,,
EA600-18kHz,10/9/22,11:03:00 AM,23;51;48.023 S,52;43;57.046 E,4441.15,4431.84,10/9/22 11:03:00 AM,-23.86333972,52.73251278,,
EA600-18kHz,10/9/22,11:03:14 AM,23;51;46.396 S,52;44;00.486 E,4438.34,4429.5,10/9/22 11:03:14 AM,-23.86288778,52.73346833,,
EA600-18kHz,10/9/22,11:03:27 AM,23;51;44.802 S,52;44;03.963 E,4447.32,4438.44,10/9/22 11:03:27 AM,-23.862445,52.73443417,,
EA600-18kHz,10/9/22,11:03:40 AM,23;51;43.148 S,52;44;07.381 E,4460.66,4451.5,10/9/22 11:03:40 AM,-23.86198556,52.73538361,,
EA600-18kHz,10/9/22,11:03:54 AM,23;51;41.511 S,52;44;10.810 E,4481.16,4471.78,10/9/22 11:03:54 AM,-23.86153083,52.73633611,,
EA600-18kHz,10/9/22,11:04:07 AM,23;51;39.898 S,52;44;14.296 E,4479.31,4470.24,10/9/22 11:04:07 AM,-23.86108278,52.73730444,,
EA600-18kHz,10/9/22,11:04:20 AM,23;51;38.290 S,52;44;17.734 E,4496.08,4487.04,10/9/22 11:04:20 AM,-23.86063611,52.73825944,,
EA600-18kHz,10/9/22,11:04:34 AM,23;51;36.625 S,52;44;21.146 E,4502.11,4492.87,10/9/22 11:04:34 AM,-23.86017361,52.73920722,,
EA600-18kHz,10/9/22,11:04:47 AM,23;51;35.041 S,52;44;24.608 E,4509.23,4500.59,10/9/22 11:04:47 AM,-23.85973361,52.74016889,,
EA600-18kHz,10/9/22,11:05:00 AM,23;51;33.360 S,52;44;28.031 E,4513.75,4505.26,10/9/22 11:05:00 AM,-23.85926667,52.74111972,,
EA600-18kHz,10/9/22,11:05:14 AM,23;51;31.714 S,52;44;31.454 E,4518.96,4509.81,10/9/22 11:05:14 AM,-23.85880944,52.74207056,,
EA600-18kHz,10/9/22,11:05:27 AM,23;51;30.115 S,52;44;34.924 E,4527.15,4517.9,10/9/22 11:05:27 AM,-23.85836528,52.74303444,,
EA600-18kHz,10/9/22,11:05:40 AM,23;51;28.459 S,52;44;38.382 E,4536.65,4527.45,10/9/22 11:05:40 AM,-23.85790528,52.743995,,
